
OACHKASOOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
KGUARDOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
KGUARDOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
KISIL-LTOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
KISIL-LTOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
KISIL-LTOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
KISIL-LTOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
KISIL-LTOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
GREBINNIKOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
GIS-PROJECT2OS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
KV-VIRTUALOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
KH-GIS-VIRT-IT2OS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
KFS2OS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
KVIRTUAL2OS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
kstoreOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
kstoreOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
kstoreOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
C-MATRIXOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
LYSENKO2OS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
LYSENKO2OS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
LYSENKO2OS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
BOCHKOOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
BOCHKOOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
BOCHKOOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
ANIKIN2OS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
ANIKIN2OS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
IREZNIKOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
KV-SRV-01OS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
